1girl,0,6160012,"1girls,sole-female"
highres,5,5441531,"high-res,high-resolution,hires"
solo,0,7530562,
long-hair,0,4779919,
breasts,0,5334181,
looking-at-viewer,0,4365888,
commentary-request,5,3383397,/com
blush,0,4047486,
smile,0,4031952,
open-mouth,0,3419750,
short-hair,0,2442390,
shirt,0,2227362,
simple-background,0,3171809,
absurdres,5,1857601,"insaneres,very-high-resolution"
blue-eyes,0,2337126,
long-sleeves,0,1627765,
large-breasts,0,1621757,"big-breasts,large-boobs,large-breast,large-tits,/lb"
skirt,0,1680867,
blonde-hair,0,1801916,
multiple-girls,0,1573410,/ngirls
white-background,0,1896569,
black-hair,0,1776291,
brown-hair,0,1763846,
hair-ornament,0,1459955,"hair-accessories,hair-accessory,hair-decs,hair-ornaments,/hornament"
1boy,0,1452057,"1boys,sole-male"
commentary,0,1439530,
holding,0,1412697,"hold,holding-object"
gloves,0,1594646,
dress,0,1425376,
red-eyes,0,1574548,
hat,0,1451983,
closed-mouth,0,1219728,
bow,0,1208729,bows
animal-ears,0,1210324,
bad-id,5,1205095,bad-skeb-id
hair-between-eyes,0,1204370,
original,3,1194522,"/o,original-character"
thighhighs,0,1194248,"naked-thighhighs,nude-thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh-highs,thighhighs-only,thighhigs,thighighs"
navel,0,1649249,
ribbon,0,1112926,ribbons
jewelry,0,1350753,
2girls,0,1049659,"2girl,2-girls"
cleavage,0,1171696,
bare-shoulders,0,1009756,
very-long-hair,0,981667,"hair-past-waist,/vlh"
jacket,0,1031437,
sitting,0,1293791,
bad-pixiv-id,5,946826,
standing,0,1389220,
twintails,0,925776,"/tt,twintaiks,twintail,twin-tails"
touhou,3,915676,
medium-breasts,0,950473,
white-shirt,0,901692,
blue-hair,0,1046586,
green-eyes,0,1206652,
brown-eyes,0,959934,
nipples,0,2166234,
full-body,0,841879,
purple-eyes,0,987311,
collarbone,0,826169,
school-uniform,0,820175,
underwear,0,1183289,
tail,0,2252140,
upper-body,0,799262,
male-focus,0,747907,
closed-eyes,0,729852,eyes-closed
white-hair,0,906005,
multicolored-hair,0,848915,
pink-hair,0,831975,
yellow-eyes,0,923126,
ponytail,0,778948,
photoshop-(medium),5,706692,
grey-hair,0,767630,
swimsuit,0,673231,"bathing-suit,mizugi,swim-suit,swimsuits"
ahoge,0,679241,
purple-hair,0,784402,
panties,0,820010,
braid,0,646230,"braided-hair,braids,hair-braid"
monochrome,7,1056099,
short-sleeves,0,641077,
flower,0,704782,
sidelocks,0,637133,
hair-ribbon,0,650197,
weapon,0,744424,
ass,0,605635,"butt,butt-cheeks,buttocks,oshiri,rearend"
heart,0,600196,"<3,hearts"
thighs,0,581425,thigh
earrings,0,579461,"aqua-earrings,black-earrings,blue-earrings,brown-earrings,ear-ring,earring,ear-rings,green-earrings,grey-earrings,pink-earrings,purple-earrings,red-earrings,white-earrings,yellow-earrings"
cowboy-shot,0,577317,
:d,0,568367,
translated,7,616908,
hetero,0,559400,
outdoors,0,554055,"outdoor,outside"
